,Game,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows.,OffRebounds,TotalRebounds,Assists,Blocks,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShots.,Opp.Assists,Opp.Blocks,v.TeamPoints,v.OpponentPoints,v.FieldGoals,v.FieldGoals.,v.X3PointShots,v.X3PointShotsAttempted,v.X3PointShots.,v.OffRebounds,v.Assists,v.Opp.FieldGoals,v.Opp.FieldGoals.,v.Opp.3PointShots.,v.Opp.Blocks,h._ATL,h._BOS,h._BRK,h._CHI,h._CHO,h._CLE,h._DAL,h._DEN,h._DET,h._GSW,h._HOU,h._IND,h._LAC,h._LAL,h._MEM,h._MIA,h._MIL,h._MIN,h._NOP,h._NYK,h._OKC,h._ORL,h._PHI,h._PHO,h._POR,h._SAC,h._SAS,h._TOR,h._UTA,h._WAS,a._ATL,a._BOS,a._BRK,a._CHI,a._CHO,a._CLE,a._DAL,a._DEN,a._DET,a._GSW,a._HOU,a._IND,a._LAC,a._LAL,a._MEM,a._MIA,a._MIL,a._MIN,a._NOP,a._NYK,a._OKC,a._ORL,a._PHI,a._PHO,a._POR,a._SAC,a._SAS,a._TOR,a._UTA,a._WAS
1,13,0,0.6953039356217419,-0.9534983715933696,0.3590377605924279,1.100633124130888,1.355738559012317,0.9153023016957655,1.7381109816710654,0.9083781433831859,-2.123598784112094,-1.735309945390351,2.2956428057097584,0.026707491522156086,-1.774184226417991,-1.008753118766733,-0.23275746249567164,-0.80176759131797,1.2562467197701175,-0.5715257155509267,1.0149088948999085,0.2582847445979834,0.9571338695378809,0.33445149853274997,0.16965520555467284,0.2794938640610861,0.6291825356742262,0.6345706053290138,0.07868257505152594,-0.00622756241675079,-0.5164363351016213,0.28821517679048736,0.9551138944072854,-0.07774932168592626,0.39159299987436064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,55,0,0.6953039356217419,-0.9534983715933696,0.3590377605924279,1.100633124130888,1.355738559012317,0.9153023016957655,1.7381109816710654,0.9083781433831859,-2.123598784112094,-1.735309945390351,2.2956428057097584,0.026707491522156086,-1.774184226417991,-1.008753118766733,-0.23275746249567164,-0.80176759131797,1.2562467197701175,-0.5715257155509267,1.0149088948999085,0.2582847445979834,0.9571338695378809,0.33445149853274997,0.16965520555467284,0.2794938640610861,0.6291825356742262,0.6345706053290138,0.07868257505152594,-0.00622756241675079,-0.5164363351016213,0.28821517679048736,0.9551138944072854,-0.07774932168592626,0.39159299987436064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,4,0,0.3665619074825967,0.5047932555494296,0.8482760277733137,-0.4666297268667687,0.16478590220039283,0.5234476421838414,-1.1131649552372007,0.2208085773800017,0.3051505584208014,0.14088655002178693,1.562636394597791,-1.4689120337185653,0.5828854652740206,0.47349636187008853,0.6716715346303906,0.1711182256327953,-0.75374803186207,-0.6597325483407973,-0.07404914683819441,0.6748730423366703,0.9571338695378809,0.33445149853274997,0.16965520555467284,0.2794938640610861,0.6291825356742262,0.6345706053290138,0.07868257505152594,-0.00622756241675079,-0.5164363351016213,0.28821517679048736,0.9551138944072854,-0.07774932168592626,0.39159299987436064,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,81,1,0.3665619074825967,0.5047932555494296,0.8482760277733137,-0.4666297268667687,0.16478590220039283,0.5234476421838414,-1.1131649552372007,0.2208085773800017,0.3051505584208014,0.14088655002178693,1.562636394597791,-1.4689120337185653,0.5828854652740206,0.47349636187008853,0.6716715346303906,0.1711182256327953,-0.75374803186207,-0.6597325483407973,-0.07404914683819441,0.6748730423366703,0.9571338695378809,0.33445149853274997,0.16965520555467284,0.2794938640610861,0.6291825356742262,0.6345706053290138,0.07868257505152594,-0.00622756241675079,-0.5164363351016213,0.28821517679048736,0.9551138944072854,-0.07774932168592626,0.39159299987436064,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,46,0,-0.4218371157537715,0.3386061755331529,-0.11441862700196899,-0.007662890933855517,-0.7340462916199287,-0.6053277202908097,-1.1125200160974342,-0.13851966655517484,-0.41724668192231745,-0.6219625744864419,-0.3431802742933339,-0.6142723050095822,-0.7785988331762411,0.6278973494364268,0.4189634324922198,0.6118619047106907,0.8255335587060767,1.118953688123144,1.1717188529101918,-0.22495768077889214,0.9571338695378809,0.33445149853274997,0.16965520555467284,0.2794938640610861,0.6291825356742262,0.6345706053290138,0.07868257505152594,-0.00622756241675079,-0.5164363351016213,0.28821517679048736,0.9551138944072854,-0.07774932168592626,0.39159299987436064,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,75,1,-0.4218371157537715,0.3386061755331529,-0.11441862700196899,-0.007662890933855517,-0.7340462916199287,-0.6053277202908097,-1.1125200160974342,-0.13851966655517484,-0.41724668192231745,-0.6219625744864419,-0.3431802742933339,-0.6142723050095822,-0.7785988331762411,0.6278973494364268,0.4189634324922198,0.6118619047106907,0.8255335587060767,1.118953688123144,1.1717188529101918,-0.22495768077889214,0.9571338695378809,0.33445149853274997,0.16965520555467284,0.2794938640610861,0.6291825356742262,0.6345706053290138,0.07868257505152594,-0.00622756241675079,-0.5164363351016213,0.28821517679048736,0.9551138944072854,-0.07774932168592626,0.39159299987436064,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,60,1,-1.3556972133879899,-0.9867357875966182,-1.384859933713629,-2.0185667959967177,-1.0486375594570414,-0.7924821845353115,-1.860649418226731,-0.09371792621719388,-0.8033555517608828,0.31957193053722677,-0.7963115102534624,1.2196421128451114,-1.5189059204585762,-0.7925917361738568,0.11970383785492547,-0.8129385140595804,-0.08973190855500783,0.09320825114392971,-0.004355832166953509,0.8248448295225981,0.9571338695378809,0.33445149853274997,0.16965520555467284,0.2794938640610861,0.6291825356742262,0.6345706053290138,0.07868257505152594,-0.00622756241675079,-0.5164363351016213,0.28821517679048736,0.9551138944072854,-0.07774932168592626,0.39159299987436064,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,78,0,-1.3556972133879899,-0.9867357875966182,-1.384859933713629,-2.0185667959967177,-1.0486375594570414,-0.7924821845353115,-1.860649418226731,-0.09371792621719388,-0.8033555517608828,0.31957193053722677,-0.7963115102534624,1.2196421128451114,-1.5189059204585762,-0.7925917361738568,0.11970383785492547,-0.8129385140595804,-0.08973190855500783,0.09320825114392971,-0.004355832166953509,0.8248448295225981,0.9571338695378809,0.33445149853274997,0.16965520555467284,0.2794938640610861,0.6291825356742262,0.6345706053290138,0.07868257505152594,-0.00622756241675079,-0.5164363351016213,0.28821517679048736,0.9551138944072854,-0.07774932168592626,0.39159299987436064,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,27,1,0.18619017522925618,-0.7665379065750584,-0.7220209910814586,-0.5674572391543208,0.0674124145365244,-0.03509146204584366,0.3405278657967778,1.2005037768113807,0.940361924929402,1.1717637453031915,0.05664140449501484,1.6825719658958125,-1.5359244741891989,0.041173596684342485,1.6492528771122084,-1.0627609680991228,-2.0279411333431896,-0.595168784133789,-1.284970489250955,0.8081812976130488,0.9571338695378809,0.33445149853274997,0.16965520555467284,0.2794938640610861,0.6291825356742262,0.6345706053290138,0.07868257505152594,-0.00622756241675079,-0.5164363351016213,0.28821517679048736,0.9551138944072854,-0.07774932168592626,0.39159299987436064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,70,1,0.18619017522925618,-0.7665379065750584,-0.7220209910814586,-0.5674572391543208,0.0674124145365244,-0.03509146204584366,0.3405278657967778,1.2005037768113807,0.940361924929402,1.1717637453031915,0.05664140449501484,1.6825719658958125,-1.5359244741891989,0.041173596684342485,1.6492528771122084,-1.0627609680991228,-2.0279411333431896,-0.595168784133789,-1.284970489250955,0.8081812976130488,0.9571338695378809,0.33445149853274997,0.16965520555467284,0.2794938640610861,0.6291825356742262,0.6345706053290138,0.07868257505152594,-0.00622756241675079,-0.5164363351016213,0.28821517679048736,0.9551138944072854,-0.07774932168592626,0.39159299987436064,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
